#{"t_start": 1728372976.4312315, "env_id": "None"}
r,l,t
36.373466,37,7.357395
41.384617,35,14.081582
41.164778,38,20.581256
31.572363,51,32.259822
39.882513,36,39.82987
39.199873,35,47.025135
40.222345,33,52.778964
40.359691,40,59.957063
37.632556,40,68.338544
33.962988,36,74.980226
46.608305,34,80.896107
39.769981,38,88.371146
38.021639,33,95.136571
45.49059,33,101.419687
38.938601,39,108.450603
47.845118,41,115.602014
39.52763,39,121.899488
40.27933,31,129.057695
33.858321,39,137.447192
41.938513,37,144.754835
37.358257,38,153.548335
37.824884,40,160.763374
38.979435,34,166.687487
41.042988,36,173.971252
39.543736,37,180.603334
31.745192,40,187.808995
35.160686,36,194.705473
35.102182,37,203.205973
41.219146,35,210.239034
33.047778,41,217.194727
38.002856,37,225.031862
34.344577,41,233.198342
33.515923,33,240.695483
39.590939,35,247.771296
37.910589,38,254.421872
36.7809,42,264.011256
30.500434,41,271.310802
36.93865,43,279.561239
38.074998,41,288.302687
44.204226,39,295.078505
41.546709,37,303.05628
33.867384,39,312.417758
14.884988,48,322.897148
46.827756,35,329.345916
34.387412,46,338.204211
38.470976,35,345.229797
32.290928,48,353.010093
33.751177,39,360.668641
34.501138,44,370.178934
37.044134,38,377.017167
39.853505,33,384.16919
36.952139,34,390.580866
44.696437,37,397.676781
40.036779,36,403.972828
38.409696,38,411.406132
37.975472,40,418.592661
36.867205,35,425.375571
38.108592,37,432.59924
33.132197,35,439.582278
40.169211,38,447.886028
46.16302,34,453.369503
38.114034,41,461.972741
37.490283,38,469.118242
41.792884,36,474.977709
42.645971,46,482.652084
45.909557,38,488.963417
41.473156,36,495.497766
38.970182,35,503.023969
34.930121,36,510.211115
41.410649,39,518.170006
35.196207,36,524.570762
37.661163,37,530.104733
40.231554,36,537.587632
38.959484,36,544.596147
39.894491,40,551.261691
40.33795,36,558.457273
38.235063,30,564.365047
40.242233,37,571.763446
36.589266,37,579.118738
44.719082,36,584.630267
36.853148,36,592.305665
32.957871,37,599.42478
40.245396,40,607.778648
38.36944,43,615.745446
38.827637,36,623.250796
39.177396,35,629.402416
41.306569,40,636.439276
38.608328,38,643.363587
41.01217,35,650.092592
27.963579,37,657.365386
43.853142,38,664.767788
35.88722,40,671.630566
42.720417,39,677.318757
37.630159,38,683.493464
36.885117,36,690.437917
39.11074,37,696.708182
38.491943,37,704.58547
43.766101,40,711.830213
34.406963,39,719.945268
44.29103,37,726.679447
38.86544,36,733.028117
32.42076,43,740.499774
38.851824,35,746.43314
35.483494,34,753.799644
35.925277,36,760.608332
42.598262,34,766.806799
43.034671,39,774.79059
48.181007,35,780.826032
43.49167,39,787.39509
43.760837,37,794.199795
37.006295,34,800.474896
45.266361,39,807.83158
36.29865,34,815.294951
47.422008,36,820.777732
39.245568,31,827.903387
46.989283,34,833.613437
37.681981,50,844.85958
39.467389,34,850.510742
37.023418,32,857.082594
33.755279,36,863.411355
39.209331,44,869.956859
44.06247,34,875.532443
41.139732,36,882.018795
34.634573,37,889.083465
39.684362,36,896.186582
45.196983,33,901.398242
42.760801,35,908.935446
30.234874,37,916.594263
39.771473,37,923.740475
34.382142,36,931.632565
35.207821,33,938.436796
43.301695,33,944.684062
43.391535,36,951.002836
50.332012,37,957.093441
35.14608,41,965.934013
38.8031,48,975.382992
46.256104,34,981.231907
40.995605,42,988.997503
39.047502,38,995.451048
36.602102,35,1001.854688
36.240675,35,1009.063015
37.841299,32,1015.722952
50.957815,37,1022.465546
33.501425,37,1028.806099
50.911973,35,1034.449651
38.431543,42,1042.480598
32.357618,39,1050.240741
40.159053,36,1057.032153
44.291631,39,1064.219726
37.156585,35,1071.339793
51.77577,34,1076.774976
40.112546,34,1082.676853
39.704661,36,1090.373199
33.603552,34,1097.859038
35.445715,38,1104.7023
56.854665,43,1112.180622
51.750597,36,1117.721691
41.603155,40,1124.364556
42.320572,35,1131.901474
34.364013,34,1139.804814
37.219006,40,1147.626696
36.976571,43,1155.190785
32.675698,40,1163.226695
37.890311,32,1169.837329
40.782977,42,1177.643532
43.947329,37,1184.690471
30.580083,40,1192.597075
42.967667,34,1199.203961
38.010229,36,1205.831297
42.676193,34,1212.1518
40.3961,37,1219.001287
48.488769,35,1224.675211
35.254259,33,1231.666474
41.262916,33,1237.927915
43.093402,35,1244.215975
40.728111,35,1250.721426
40.819301,44,1258.191771
48.247198,34,1264.215281
32.527434,33,1270.91482
36.87835,36,1278.116535
32.5437,35,1285.100715
39.274823,39,1292.008613
43.818731,37,1298.818812
38.315843,37,1305.607909
4.881451,46,1313.174031
41.077138,36,1320.406349
33.69855,47,1329.608104
35.267052,38,1336.955313
31.544771,38,1344.501209
40.965695,38,1351.640799
35.508736,41,1359.145375
40.287573,37,1366.211033
47.087184,41,1373.294046
37.203445,39,1381.008591
41.909126,38,1388.057092
37.463771,36,1394.096831
38.984393,34,1400.474366
35.678904,34,1407.594103
45.55923,33,1413.946293
40.929502,37,1420.06058
43.90313,39,1427.473433
37.235996,31,1433.674094
35.997815,39,1440.839847
34.420919,40,1449.919802
41.959273,38,1457.519282
40.939019,34,1463.637054
40.307468,44,1470.394608
31.52994,34,1477.721316
40.298729,37,1484.412487
34.238493,40,1492.269047
35.367334,39,1500.427475
40.380169,42,1507.924907
36.781855,39,1515.547877
34.775351,39,1523.946229
37.581516,39,1531.46035
43.726913,37,1537.779928
41.479678,35,1543.75482
32.187936,42,1553.019509
45.466219,38,1560.518781
34.261938,37,1567.124703
36.711375,41,1573.991888
42.270594,40,1581.324946
34.192608,37,1590.41916
38.211835,36,1597.793748
36.92075,40,1605.079982
36.707871,32,1611.73599
35.640076,38,1618.943966
44.091623,37,1625.25975
36.576504,36,1631.696462
39.090752,35,1637.647558
41.661062,36,1644.564881
44.595481,36,1651.182692
38.066828,39,1658.130478
38.952216,40,1665.293247
37.880945,39,1673.033189
38.614758,35,1679.990981
36.916426,36,1687.078452
48.961138,39,1693.927987
40.270968,38,1700.551114
19.143892,52,1713.107251
40.735292,36,1719.789871
33.152134,43,1728.601302
43.997791,36,1734.214034
39.214513,39,1741.128137
44.969644,33,1747.1963
41.277053,33,1753.242843
40.703951,36,1760.306348
36.708819,36,1767.250747
45.562504,39,1773.737865
35.652569,37,1782.256398
38.489703,38,1788.678109
37.013034,36,1794.451815
41.33216,38,1800.736949
42.299809,34,1805.896475
40.155118,32,1812.438584
39.733118,39,1818.96564
45.111905,32,1824.524295
38.273314,35,1832.360052
46.078923,38,1838.760438
40.268774,35,1846.364986
40.603008,35,1854.236482
32.532729,40,1861.273849
40.231373,34,1867.42093
38.009669,36,1875.455023
43.128516,41,1883.241549
46.879773,34,1889.432179
41.125536,37,1896.197365
46.575316,33,1902.139257
37.959619,38,1908.943989
46.764208,33,1915.288936
37.721027,42,1923.558383
36.15137,35,1930.155082
33.621345,44,1938.114322
39.893351,39,1946.256229
30.851594,46,1954.404569
45.938896,43,1961.641032
40.984367,36,1969.488503
38.697676,41,1979.223133
42.850241,37,1985.700185
38.511881,39,1993.088922
37.421598,38,2000.667142
38.388134,39,2008.83788
36.501043,39,2016.601492
31.375197,42,2024.851599
36.524119,37,2032.531108
43.956717,38,2038.500567
36.550903,38,2045.282124
43.11782,36,2051.894054
38.359626,35,2058.038577
37.993489,38,2066.300611
34.186143,34,2072.913921
38.896692,37,2080.307575
39.618324,38,2088.575053
36.413116,37,2095.850083
39.602471,37,2102.941149
38.08813,39,2110.749036
40.496621,36,2116.556727
28.779353,38,2125.273307
45.517082,39,2132.348891
44.465374,40,2139.425797
43.039666,37,2146.161028
42.20592,39,2152.578881
34.581901,35,2159.189489
36.127137,34,2166.427566
47.650018,39,2172.402282
34.352664,38,2181.092708
48.752012,36,2186.810174
36.924544,36,2193.849097
34.544309,36,2201.728751
40.245294,38,2209.187937
36.492758,38,2217.442983
43.81743,43,2226.219213
38.614885,29,2232.057726
35.66891,36,2238.844723
46.059833,36,2246.157435
31.360754,44,2255.494616
41.218625,37,2262.319458
42.390131,34,2268.692862
34.097087,37,2277.259963
41.303812,35,2283.4184
40.980304,38,2290.104398
41.981127,38,2297.983068
38.887022,39,2304.682651
13.253908,45,2315.244006
31.29268,39,2323.2469
39.357941,39,2332.823976
44.39936,38,2339.103103
38.269194,41,2346.96736
35.24017,34,2353.974029
36.61747,37,2360.993138
38.470561,37,2367.801026
38.645338,46,2377.275756
38.254173,37,2383.932878
38.181613,38,2391.47793
38.788993,36,2399.191904
43.667976,32,2405.087434
34.872636,31,2411.48543
40.324679,40,2418.568937
39.841808,33,2424.928552
38.285248,38,2432.257313
33.008892,38,2440.491436
38.117197,35,2447.409094
44.782606,36,2453.599472
40.471453,42,2460.933972
37.173663,43,2471.031515
40.276189,38,2478.129595
34.403865,44,2488.194743
40.57394,38,2494.933415
32.271385,35,2501.383266
40.712387,36,2507.145013
33.358704,40,2515.083206
29.366449,41,2523.713623
42.486751,34,2530.041895
35.394131,42,2537.660039
41.201329,36,2543.882811
38.54089,36,2550.246604
37.616582,42,2557.797452
47.631015,39,2564.173288
36.734835,31,2570.219296
34.500954,31,2576.498604
41.549831,39,2585.43615
35.482391,37,2592.584265
37.905669,38,2598.850026
41.478034,40,2605.834791
39.697709,38,2613.825001
41.550828,40,2622.127411
35.985138,33,2628.517132
52.728765,40,62674.950853
36.08269,43,62684.135755
42.574924,36,62689.953841
44.238771,39,62696.005302
42.790138,36,62703.23558
39.630382,41,62711.621671
43.157816,32,62717.589799
41.713424,35,62724.147913
39.10884,35,62731.226819
40.045534,48,62740.257776
43.648542,34,62746.451589
37.465747,38,62754.833892
40.220225,33,62761.441769
